time,ax,ay,az
0.008440017700195312,0.01,0.28,-0.04,0.28
0.011249065399169922,-0.22,0.2,-0.12,0.32
0.016995906829833984,-0.14,0.23,0.2,0.33
0.018630027770996094,-0.22,0.06,0.17,0.28
0.03744697570800781,-0.16,0.12,0.17,0.26
0.04140806198120117,-0.14,0.0,-0.1,0.17
0.07236576080322266,-0.03,-0.22,-0.34,0.4
0.07318401336669922,0.07,-0.32,-0.4,0.51
0.08198690414428711,0.12,-0.26,-0.22,0.36
0.08266592025756836,0.15,-0.12,-0.01,0.19
0.09900689125061035,0.11,0.0,0.1,0.14
0.1000208854675293,0.01,0.07,0.25,0.25
0.1162099838256836,-0.14,0.11,0.41,0.44
0.1172018051147461,-0.22,0.14,0.48,0.54
0.13330888748168945,-0.23,0.14,0.45,0.52
0.13421392440795898,-0.21,0.04,0.3,0.36
0.17198395729064941,-0.13,-0.08,0.1,0.18
0.17325687408447266,-0.04,-0.14,-0.07,0.16
0.18201398849487305,0.03,-0.14,-0.14,0.2
0.18294382095336914,0.09,-0.12,-0.1,0.18
0.19893503189086914,0.12,-0.07,-0.01,0.13
0.1999359130859375,0.09,-0.06,0.06,0.12
0.22020292282104492,0.05,-0.08,0.05,0.1
0.22477102279663086,-0.01,-0.08,0.01,0.08
0.23462677001953125,-0.07,-0.04,0.03,0.08
0.23842477798461914,-0.08,0.02,0.04,0.09
0.27188992500305176,-0.05,0.04,0.05,0.08
0.27268075942993164,-0.03,0.04,0.01,0.05
0.28197479248046875,0.03,0.01,-0.03,0.04
0.28262996673583984,0.06,-0.04,-0.04,0.08
0.2989358901977539,0.07,-0.07,-0.07,0.12
0.2999598979949951,0.09,-0.07,-0.08,0.13
0.3148660659790039,0.07,-0.07,-0.04,0.1
0.31574583053588867,0.02,-0.04,0.01,0.04
0.3317549228668213,-0.05,-0.03,0.03,0.06
0.33319997787475586,-0.09,-0.01,0.06,0.1
0.3686380386352539,-0.11,0.06,0.08,0.14
0.3699030876159668,-0.11,0.1,0.09,0.17
0.3830559253692627,-0.07,0.09,0.0,0.11
0.3841090202331543,-0.02,0.05,-0.08,0.09
0.39905500411987305,0.01,0.03,-0.12,0.12
0.40004587173461914,0.01,-0.02,-0.08,0.08
0.41637492179870605,0.02,-0.04,-0.01,0.04
0.4178199768066406,0.03,-0.04,0.04,0.06
0.43399477005004883,0.02,-0.03,0.05,0.06
0.4378499984741211,0.0,-0.04,0.01,0.04
0.4749419689178467,-0.02,-0.03,0.0,0.03
0.4757370948791504,-0.06,0.02,0.06,0.08
0.4829840660095215,-0.07,0.06,0.09,0.12
0.48365092277526855,-0.06,0.05,0.04,0.08
0.4988389015197754,-0.01,0.01,-0.06,0.06
0.49982404708862305,0.02,-0.03,-0.14,0.14
0.5150079727172852,0.06,-0.02,-0.13,0.14
0.5158438682556152,0.05,-0.02,-0.09,0.1
0.5311849117279053,0.03,-0.05,-0.03,0.06
0.5321259498596191,0.03,-0.05,-0.02,0.06
0.5647158622741699,0.01,-0.02,-0.05,0.05
0.5660500526428223,0.03,-0.01,-0.08,0.08
0.583096981048584,0.08,-0.02,-0.11,0.13
0.584129810333252,0.08,-0.02,-0.1,0.12
0.6007847785949707,0.06,-0.01,-0.08,0.1
0.6017699241638184,0.06,-0.02,-0.06,0.08
0.6163029670715332,0.06,-0.04,-0.05,0.08
0.6172747611999512,0.04,-0.03,-0.04,0.06
0.634552001953125,0.03,-0.02,-0.04,0.05
0.6386227607727051,0.03,-0.02,-0.05,0.06
0.6670079231262207,0.02,-0.01,-0.01,0.02
