time,ax,ay,az,modulus
0.003328084945678711,0.02,-0.02,-0.06,0.06
0.0046808719635009766,-0.02,0.0,-0.27,0.27
0.006201028823852539,-0.1,0.0,0.02,0.1
0.007543087005615234,-0.1,0.03,-0.08,0.13
0.00885319709777832,0.0,0.05,0.01,0.05
0.010298967361450195,0.08,0.04,0.22,0.23
0.011237859725952148,0.17,0.06,0.08,0.19
0.013501882553100586,0.18,0.04,0.06,0.19
0.025254011154174805,0.07,0.01,0.08,0.1
0.027101993560791016,-0.05,-0.03,-0.08,0.09
0.028065919876098633,-0.06,-0.07,-0.02,0.09
0.02944016456604004,-0.08,-0.22,0.01,0.23
0.030923128128051758,0.46,-0.06,0.14,0.48
0.03250908851623535,0.69,0.18,-0.89,1.14
0.03405594825744629,-0.39,-0.01,-0.83,0.91
0.035490989685058594,-1.03,0.21,0.48,1.15
0.037030935287475586,-0.77,0.09,-0.4,0.87
0.03838992118835449,0.13,0.15,0.22,0.29
0.050118207931518555,1.09,-0.04,-0.54,1.21
0.051444053649902344,0.46,-0.07,0.77,0.89
0.05242419242858887,-0.15,-0.09,1.14,1.15
0.053968191146850586,-0.49,-0.1,-0.88,1.01
0.055351972579956055,-0.82,-0.07,-0.31,0.87
0.05676913261413574,-0.47,-0.06,0.59,0.75
0.058287858963012695,0.41,-0.01,-0.05,0.41
0.05989503860473633,0.7,-0.01,-0.18,0.72
0.06081986427307129,0.2,0.01,0.39,0.43
0.06303811073303223,-0.23,0.03,-0.36,0.42
0.07486796379089355,-0.57,0.01,-0.52,0.77
0.0765080451965332,-0.56,-0.07,0.38,0.68
0.07747387886047363,0.12,-0.12,0.39,0.42
0.07944893836975098,0.72,-0.14,0.02,0.73
0.0809471607208252,0.5,-0.1,0.29,0.58
0.08239293098449707,-0.01,-0.03,0.18,0.18
0.08385705947875977,-0.41,0.04,-0.41,0.58
0.08524703979492188,-0.59,0.09,-0.08,0.6
0.08663392066955566,-0.18,0.13,0.2,0.29
0.08804798126220703,0.51,0.14,-0.34,0.62
0.10000491142272949,0.59,0.09,-0.2,0.62
0.1013791561126709,0.15,0.06,0.13,0.2
0.10240602493286133,-0.26,0.02,-0.22,0.34
0.1038510799407959,-0.52,-0.02,-0.3,0.6
0.10538220405578613,-0.35,-0.06,0.22,0.41
0.10686993598937988,0.2,-0.08,0.37,0.42
0.10823297500610352,0.5,-0.11,0.37,0.63
0.10953497886657715,0.24,-0.13,0.89,0.93
0.11129212379455566,-0.18,-0.18,0.92,0.95
0.11220288276672363,-0.53,-0.26,0.7,0.91
