time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,008000;0,1137;-0,0365;-0,1227;0,171
0,009000;0,0095;-0,0273;-0,1816;0,184
0,016000;-0,0404;0,0022;-0,1619;0,167
0,030000;-0,0217;-0,0172;-0,2109;0,213
0,042000;-0,0306;-0,0174;-0,2404;0,243
0,047000;-0,0899;-0,0173;-0,2208;0,239
0,055000;-0,0282;-0,0246;-0,2209;0,224
0,065000;-0,0182;-0,0148;-0,2209;0,222
0,075000;-0,0182;-0,0149;-0,2013;0,203
0,087000;0,0011;-0,0051;-0,2111;0,211
0,095000;0,0011;-0,0148;-0,2111;0,212
0,106000;0,0011;-0,0148;-0,2013;0,202
0,115000;-0,0185;-0,0050;-0,1915;0,192
0,125000;-0,0283;-0,0148;-0,1915;0,194
0,138000;-0,0087;-0,0245;-0,2013;0,203
0,145000;-0,0381;-0,0147;-0,2111;0,215
0,155000;-0,0383;-0,0146;-0,2601;0,263
0,165000;-0,0585;-0,0047;-0,3385;0,344
0,182000;-0,0293;-0,0242;-0,2307;0,234
0,188000;-0,0588;-0,0144;-0,2503;0,258
0,195000;-0,0591;-0,0145;-0,1914;0,201
0,205000;-0,0495;-0,0048;-0,1914;0,198
0,215000;-0,0397;-0,0051;-0,1718;0,176
0,225000;-0,0397;-0,0149;-0,1914;0,196
0,237000;-0,0104;-0,0150;-0,2110;0,212
0,245000;-0,0005;-0,0053;-0,1914;0,191
0,255000;-0,0104;-0,0249;-0,2012;0,203
0,266000;-0,0104;-0,0152;-0,2012;0,202
0,276000;-0,0300;-0,0054;-0,2012;0,203
0,287000;-0,0399;-0,0251;-0,2110;0,216
0,295000;-0,0399;-0,0251;-0,2110;0,216
0,305000;-0,0498;-0,0251;-0,2110;0,218
0,315000;-0,0400;-0,0252;-0,2110;0,216
0,331000;-0,0206;-0,0155;-0,2110;0,213
0,337000;-0,0303;-0,0157;-0,2012;0,204
0,346000;-0,0304;-0,0063;-0,1816;0,184
0,357000;-0,0109;-0,0064;-0,2012;0,202
0,365000;-0,0110;-0,0064;-0,1620;0,162
0,375000;-0,0207;-0,0162;-0,2012;0,203
0,387000;-0,0305;-0,0064;-0,1816;0,184
0,395000;-0,0306;-0,0161;-0,2012;0,204
0,405000;-0,0305;-0,0160;-0,2012;0,204
0,415000;-0,0304;-0,0160;-0,1914;0,194
0,426000;-0,0108;-0,0159;-0,1914;0,192
0,440000;-0,0206;-0,0063;-0,2012;0,202
0,445000;-0,0207;-0,0162;-0,2110;0,213
0,456000;-0,0209;-0,0162;-0,2110;0,213
0,465000;-0,0209;-0,0260;-0,2012;0,204
0,475000;-0,0308;-0,0162;-0,1914;0,195
0,487000;-0,0308;-0,0065;-0,2012;0,204
0,495000;-0,0308;-0,0163;-0,2012;0,204
0,506000;-0,0309;-0,0163;-0,2012;0,204
0,515000;-0,0211;-0,0064;-0,2012;0,202
0,525000;-0,0213;-0,0063;-0,2012;0,202
0,537000;-0,0115;-0,0064;-0,2110;0,211
0,545000;-0,0214;-0,0063;-0,1816;0,183
0,556000;-0,0313;-0,0160;-0,2012;0,204
0,565000;-0,0215;-0,0257;-0,2012;0,204
0,575000;-0,0411;-0,0062;-0,1914;0,196
0,591000;-0,0412;-0,0160;-0,1914;0,196
0,597000;-0,0314;-0,0161;-0,2110;0,214
0,605000;-0,0412;-0,0261;-0,1914;0,198
0,615000;-0,0216;-0,0260;-0,1914;0,194
0,626000;-0,0217;-0,0161;-0,2012;0,203
0,637000;-0,0217;-0,0065;-0,2110;0,212
0,645000;-0,0218;-0,0066;-0,2110;0,212
0,656000;-0,0316;-0,0164;-0,1913;0,195
0,666000;-0,0219;-0,0067;-0,2012;0,202
0,675000;-0,0317;-0,0166;-0,1913;0,195
0,687000;-0,0317;-0,0264;-0,1913;0,196
0,695000;-0,0219;-0,0068;-0,2011;0,202
0,705000;-0,0319;-0,0166;-0,1913;0,195
0,715000;-0,0221;-0,0068;-0,2011;0,202
0,725000;-0,0318;-0,0166;-0,2011;0,204
0,738000;-0,0220;-0,0168;-0,2011;0,203
0,747000;-0,0318;-0,0168;-0,2110;0,214
0,755000;-0,0318;-0,0168;-0,2011;0,204
0,765000;-0,0318;-0,0168;-0,2011;0,204
0,775000;-0,0319;-0,0364;-0,2011;0,207
0,787000;-0,0320;-0,0169;-0,1815;0,185
0,796000;-0,0222;-0,0169;-0,2109;0,213
0,805000;-0,0223;-0,0267;-0,2109;0,214
0,816000;-0,0125;-0,0071;-0,2109;0,211
0,826000;-0,0126;-0,0168;-0,2011;0,202
0,837000;-0,0225;-0,0266;-0,2109;0,214
0,845000;-0,0421;-0,0069;-0,1815;0,186
0,855000;-0,0322;-0,0168;-0,2011;0,204
0,865000;-0,0322;-0,0070;-0,2109;0,213
0,876000;-0,0322;-0,0070;-0,1913;0,194
0,888000;-0,0225;-0,0168;-0,1913;0,193
0,895000;-0,0225;-0,0168;-0,2011;0,203
0,907000;-0,0324;-0,0362;-0,2109;0,216
0,915000;-0,0421;-0,0164;-0,2011;0,206
0,925000;-0,0420;0,0029;-0,2011;0,205
0,938000;-0,0224;-0,0068;-0,1913;0,193
0,945000;-0,0223;-0,0264;-0,2109;0,214
0,955000;-0,0127;-0,0264;-0,2109;0,213
0,965000;-0,0128;-0,0262;-0,2011;0,203
0,976000;-0,0324;-0,0164;-0,2109;0,214
0,988000;-0,0518;-0,0163;-0,1913;0,199
0,997000;-0,0322;-0,0065;-0,2011;0,204
1,006000;-0,0224;-0,0261;-0,1815;0,185
1,015000;-0,0225;-0,0260;-0,2110;0,214
1,025000;-0,0225;-0,0260;-0,2110;0,214
1,037000;-0,0128;-0,0163;-0,2011;0,202
1,045000;-0,0225;-0,0065;-0,2011;0,202
1,056000;-0,0322;0,0031;-0,2011;0,204
1,066000;-0,0224;-0,0262;-0,1913;0,194
1,075000;-0,0321;-0,0164;-0,2011;0,204
1,088000;-0,0320;-0,0260;-0,2012;0,205
1,095000;-0,0223;-0,0161;-0,2110;0,213
1,105000;-0,0126;-0,0063;-0,2011;0,202
1,115000;-0,0224;-0,0064;-0,2110;0,212
1,126000;-0,0420;-0,0259;-0,1913;0,198
1,140000;-0,0517;-0,0160;-0,1913;0,199
1,146000;-0,0223;-0,0160;-0,2012;0,203
1,155000;-0,0419;-0,0063;-0,2110;0,215
1,165000;-0,0418;-0,0063;-0,1913;0,196
1,175000;-0,0417;-0,0064;-0,2012;0,206
1,186000;-0,0319;-0,0063;-0,2012;0,204
1,195000;-0,0318;-0,0260;-0,2012;0,205
1,205000;-0,0220;-0,0161;-0,2012;0,203
1,215000;-0,0513;-0,0063;-0,2012;0,208
1,226000;-0,0414;-0,0161;-0,1815;0,187
1,238000;-0,0512;-0,0064;-0,2110;0,217
1,245000;-0,0414;-0,0163;-0,2012;0,206
1,255000;-0,0413;-0,0163;-0,2110;0,216
1,265000;-0,0217;-0,0261;-0,2110;0,214
1,275000;-0,0120;-0,0163;-0,2012;0,202
1,291000;-0,0022;0,0030;-0,1913;0,191
1,297000;-0,0023;-0,0165;-0,1913;0,192
1,306000;-0,0220;-0,0264;-0,2011;0,204
1,315000;-0,0415;-0,0068;-0,2011;0,205
1,326000;-0,0415;-0,0166;-0,2012;0,206
1,335000;-0,0414;-0,0264;-0,2110;0,217
1,345000;-0,0315;-0,0068;-0,2110;0,213
1,355000;-0,0412;-0,0165;-0,2110;0,216
1,365000;-0,0217;-0,0262;-0,2012;0,204
1,375000;-0,0021;-0,0066;-0,2110;0,211
1,387000;-0,0218;-0,0263;-0,2110;0,214
1,395000;-0,0315;-0,0067;-0,1914;0,194
1,405000;-0,0315;-0,0164;-0,1914;0,195
1,415000;-0,0411;-0,0163;-0,2012;0,206
1,425000;-0,0313;-0,0359;-0,2110;0,216
1,437000;-0,0313;-0,0162;-0,2012;0,204
1,445000;-0,0311;-0,0162;-0,2012;0,204
1,456000;-0,0116;-0,0066;-0,2012;0,202
1,466000;-0,0115;-0,0163;-0,1914;0,192
1,475000;-0,0213;-0,0065;-0,1816;0,183
1,488000;-0,0214;-0,0261;-0,1914;0,194
1,495000;-0,0506;-0,0261;-0,2110;0,219
1,505000;-0,0310;-0,0066;-0,1914;0,194
1,515000;-0,0309;-0,0162;-0,1914;0,195
1,525000;-0,0308;-0,0065;-0,2012;0,204
1,538000;-0,0308;-0,0261;-0,2012;0,205
1,546000;-0,0308;-0,0065;-0,2012;0,204
1,555000;-0,0307;-0,0163;-0,2012;0,204
1,565000;-0,0306;-0,0260;-0,1914;0,196
