time,ax,ay,az
0.035849809646606445,-0.05,0.2,0.05,0.21
0.03771185874938965,0.05,0.1,-0.07,0.13
0.038739919662475586,-0.02,0.06,0.14,0.15
0.0401918888092041,0.01,-0.11,0.17,0.2
0.048792123794555664,0.13,-0.15,-0.05,0.2
0.0589289665222168,0.06,-0.13,0.27,0.3
0.06883502006530762,0.03,-0.18,0.2,0.27
0.0790250301361084,0.06,-0.18,-0.02,0.19
0.08909296989440918,0.07,-0.16,0.04,0.17
0.09901189804077148,0.05,-0.11,0.1,0.15
0.13603997230529785,0.05,-0.04,0.01,0.06
0.1378180980682373,0.04,0.01,0.0,0.04
0.13895010948181152,0.0,0.08,-0.18,0.19
0.14053893089294434,-0.01,0.11,-0.12,0.16
0.14910006523132324,-0.05,0.14,-0.1,0.17
0.15912604331970215,-0.11,0.14,-0.16,0.23
0.1690669059753418,-0.1,0.1,-0.1,0.17
0.17956995964050293,-0.06,0.06,-0.14,0.16
0.18951106071472168,-0.1,0.0,-0.03,0.1
0.19992399215698242,-0.14,-0.05,0.03,0.15
0.23599696159362793,-0.1,-0.1,0.04,0.14
0.23792004585266113,-0.07,-0.11,0.06,0.14
0.23878884315490723,-0.09,-0.1,-0.04,0.14
0.2404019832611084,-0.13,-0.09,0.03,0.16
0.24956202507019043,-0.07,-0.06,-0.03,0.09
0.2595219612121582,0.0,-0.04,-0.14,0.14
0.2695448398590088,-0.04,0.01,-0.08,0.09
0.2798190116882324,-0.05,0.03,-0.01,0.05
0.28978991508483887,-0.02,0.05,-0.02,0.05
0.30034899711608887,0.02,0.06,-0.12,0.13
0.33620595932006836,0.03,0.04,-0.02,0.05
0.337968111038208,0.03,0.04,-0.04,0.06
0.33907389640808105,0.02,0.02,-0.04,0.04
0.3407108783721924,0.02,0.01,0.08,0.08
0.34957385063171387,0.05,-0.01,-0.03,0.05
0.359982967376709,0.06,-0.01,0.03,0.06
0.36996912956237793,0.05,-0.03,0.13,0.14
0.38012194633483887,0.03,-0.03,0.07,0.08
0.3902161121368408,0.02,-0.04,0.04,0.06
0.3999598026275635,0.01,-0.03,-0.07,0.07
0.4371941089630127,0.0,-0.02,-0.11,0.11
0.4390738010406494,-0.02,0.0,-0.09,0.09
0.44054388999938965,-0.03,0.01,0.02,0.03
0.44266295433044434,-0.04,0.02,-0.14,0.14
0.4501321315765381,-0.07,0.02,-0.01,0.07
0.4605429172515869,-0.07,0.03,0.07,0.1
0.47024083137512207,-0.03,0.02,-0.11,0.11
0.48041296005249023,-0.05,0.01,-0.05,0.07
0.49052882194519043,-0.08,0.0,0.01,0.08
0.5003108978271484,-0.07,-0.01,0.06,0.09
0.5380771160125732,-0.03,-0.02,0.01,0.03
0.539726972579956,-0.02,-0.04,0.06,0.07
0.5407278537750244,-0.01,-0.02,0.08,0.08
0.5423619747161865,0.01,-0.01,-0.02,0.02
0.550433874130249,0.0,0.01,-0.09,0.09
0.561028003692627,-0.01,0.03,-0.18,0.18
0.5707359313964844,0.0,0.03,-0.1,0.1
0.5808207988739014,0.05,0.03,0.04,0.07
0.5908269882202148,0.09,0.02,-0.04,0.1
0.6007099151611328,0.07,0.0,-0.05,0.08
0.638375997543335,0.01,-0.02,0.04,0.04
0.6402270793914795,0.0,-0.03,0.07,0.07
0.6416139602661133,0.02,-0.03,-0.03,0.04
0.6430790424346924,0.03,-0.03,0.09,0.09
0.6507670879364014,0.06,-0.02,0.06,0.08
0.6614179611206055,0.07,-0.02,0.03,0.07
0.6710970401763916,0.04,-0.01,0.06,0.07
0.6811749935150146,0.01,0.0,0.02,0.02
0.6913130283355713,0.0,0.01,-0.07,0.07
0.700995922088623,-0.01,0.01,-0.03,0.03
0.7369558811187744,-0.01,0.02,-0.11,0.11
0.7385649681091309,-0.02,0.01,-0.07,0.07
0.7395827770233154,-0.02,0.02,-0.05,0.05
0.74111008644104,-0.02,0.0,-0.02,0.02
0.7514259815216064,-0.04,0.0,0.02,0.04
0.761711835861206,-0.04,-0.01,-0.07,0.08
0.7715659141540527,-0.06,-0.01,-0.02,0.06
0.7815449237823486,-0.04,-0.03,-0.01,0.05
0.7915918827056885,-0.02,-0.01,0.03,0.03
0.801414966583252,0.01,-0.01,0.06,0.06
0.8379900455474854,0.03,0.0,0.01,0.03
0.8396890163421631,0.02,-0.01,0.03,0.03
0.8405840396881104,0.01,0.0,0.03,0.03
0.8419787883758545,0.02,-0.01,-0.07,0.07
0.8516199588775635,0.04,-0.01,-0.12,0.12
0.8618879318237305,0.04,0.01,-0.02,0.04
0.8719251155853271,0.07,0.01,0.0,0.07
0.8818528652191162,0.1,0.01,0.03,0.1
0.8919107913970947,0.08,0.01,-0.01,0.08
0.9017589092254639,0.07,0.0,-0.1,0.12
0.9411060810089111,0.05,-0.01,-0.06,0.07
0.942986011505127,0.04,-0.01,0.03,0.05
0.9441840648651123,0.07,-0.03,-0.03,0.08
0.9456110000610352,0.07,-0.03,0.0,0.07
0.951988935470581,0.03,-0.03,0.09,0.09
0.9621808528900146,0.03,-0.02,0.05,0.06
0.9721889495849609,0.03,-0.02,0.1,0.1
0.9821398258209229,0.05,0.01,-0.03,0.05
0.992509126663208,0.02,0.01,-0.14,0.14
1.0021378993988037,-0.01,0.01,-0.07,0.07
1.0396959781646729,-0.02,-0.01,0.02,0.03
1.0415229797363281,0.02,-0.01,0.01,0.02
1.0428059101104736,0.06,-0.02,-0.05,0.08
1.044625997543335,0.02,-0.01,-0.05,0.05
1.0523431301116943,-0.02,-0.02,0.1,0.1
1.0626649856567383,0.02,-0.02,0.04,0.04
1.0728650093078613,0.06,0.0,-0.15,0.16
1.082556962966919,0.04,0.01,-0.11,0.11
1.0926539897918701,0.02,-0.01,0.12,0.12
1.1025068759918213,0.06,0.0,0.06,0.08
1.1408698558807373,0.1,-0.01,-0.04,0.1
1.1427769660949707,0.08,-0.01,0.09,0.12
1.1440989971160889,0.07,-0.01,0.02,0.07
1.1455860137939453,0.06,-0.01,-0.12,0.13
1.1525909900665283,0.05,-0.01,-0.1,0.11
1.16286301612854,0.06,-0.01,-0.02,0.06
1.1731479167938232,0.08,-0.01,0.0,0.08
1.1829020977020264,0.08,-0.01,-0.05,0.09
1.1930789947509766,0.04,0.0,0.03,0.05
1.2028567790985107,0.04,0.0,0.0,0.04
1.2403390407562256,0.04,-0.01,-0.13,0.13
1.2420690059661865,0.01,-0.01,-0.07,0.07
1.2434508800506592,-0.02,-0.01,0.01,0.02
1.2448639869689941,-0.02,-0.02,0.0,0.02
1.2529218196868896,-0.01,-0.03,0.01,0.03
1.2633399963378906,-0.01,-0.02,0.08,0.08
